question,item1,item2,item3,item4,correct
ભારતના પ્રથમ વડાપ્રધાન કોણ હતા?,સરદાર વલ્લભભાઈ પટેલ,જવાહરલાલ નેહરુ,ડૉ. બી. આર. આંબેડકર,મહાત્મા ગાંધી,1
ગુજરાતની રાજધાની કઈ છે?,સુરત,ગાંધીનગર,અમદાવાદ,વડોદરા,1
ભારતનો રાષ્ટ્રીય પ્રાણી કયો છે?,વાઘ,સિંહ,હાથી,મોર,0
ભારતની સ્વતંત્રતા ક્યારે મળી?,15 ઓગસ્ટ 1947,26 જાન્યુઆરી 1950,15 ઓગસ્ટ 1950,26 જાન્યુઆરી 1947,0
ભારતનો રાષ્ટ્રીય પક્ષી કયો છે?,હંસ,ગરુડ,મોર,કોયલ,2
વિશ્વની સૌથી ઊંચી ચોટી કઈ છે?,K2,કાંચનજંઘા,એવરેસ્ટ,ધૌલાગિરિ,2
ગુજરાતના પ્રખ્યાત લોક-નૃત્ય કયા છે?,ભાંગડા,ગરબા,ઓડિસ્સી,કથ્થક,1
2011 ODI વર્લ્ડ કપ ક્યાં યોજાઈ?,શ્રીલંકા,ઇંગ્લેન્ડ,ભારત,ઓસ્ટ્રેલિયા,2
ભારતનો રાષ્ટ્રીય રમત કઈ છે?,ક્રિકેટ,ફૂટબૉલ,હૉકી,કબડ્ડી,2
સૌથી મોટો ખંડ કયો છે?,ઉત્તર અમેરિકા,ઓસ્ટ્રેલિયા,એશિયા,આફ્રિકા,2
